Stop;StopName;Kommunenavn;Lon;Lat;PublicLineNo;Reisende;Year;Month
31456;Vindal Huvik;Sandefjord;10,246639;59,117882;3;195,438822;2023;5
33325;Kilen;Tønsberg;10,436403;59,273415;118;56,217708;2023;4
103350;Gudumstien;Holmestrand;10,293542;59,494514;45;74,120934;2023;2
34068;Brekke Åsgårdstrandveien;Tønsberg;10,484964;59,295625;1;390,993844;2023;10
32388;Mågerø verft;Færder;10,433831;59,152633;1609;3,013359;2023;8
30547;Rekkevik Rudjuveien;Larvik;10,074806;59,025383;210;11,483525;2023;2
32415;Sommero;Holmestrand;10,301434;59,493302;47;24,255972;2023;1
32591;Stokke ungdomsskole snuplass;Sandefjord;10,276667;59,220078;1732;32,142497;2023;8
33739;Bergsåsen;Tønsberg;10,249799;59,361685;1524;11,161552;2023;6
104891;Prestbøen;Sandefjord;10,136422;59,227497;1223;26,23493;2023;4
32121;Kjelle;Tønsberg;10,403197;59,279953;1151;14,615395;2023;2
107925;Bakstevål;Tønsberg;10,211033;59,437523;1930;13,43339;2023;11
31065;Klokkerjordet;Holmestrand;10,212497;59,588463;93;28,995018;2023;7
33084;Innlaget;Tønsberg;10,487963;59,301199;1538;1,897464;2023;5
32735;Stulen;Sandefjord;10,182108;59,320571;124;11,483525;2023;2
32120;Kjelle;Tønsberg;10,403776;59,279683;1504;1,010665;2023;1
31248;Skaralia;Tønsberg;10,431927;59,306009;113B;13,138651;2023;1
33617;Fylkeshuset;Tønsberg;10,415538;59,266240;113A;490,466695;2023;3
32369;Solliveien;Larvik;10,018692;59,016506;1;134,596705;2023;8
31599;Vårnes;Sandefjord;10,335474;59,204934;1249;4,058746;2023;6
31123;Sevika;Færder;10,391218;59,178838;2;181,20784;2023;5
33905;Gloppeskogen Åsveien;Larvik;10,068795;59,040930;1119;4,99713;2023;4
31804;Hjertnespromenaden;Sandefjord;10,223849;59,129735;1265;2,066124;2023;12
32250;Movikåsen;Færder;10,428598;59,170555;1554;142,562534;2023;12
30555;Revetal ungdomsskole;Tønsberg;10,266313;59,374104;1521;33,907325;2023;10
32471;Krabbesvingen;Larvik;9,864752;58,991018;1308;25,771649;2023;3
31768;Hjemseng;Færder;10,442393;59,221504;1531;45,454721;2023;12
31154;Sivles vei Markveien;Drammen;10,398396;59,615314;1814;4,743661;2023;5
31202;Ve;Holmestrand;10,229763;59,564291;1811;1,249282;2023;4
32740;Styrvoll;Larvik;9,899838;59,338653;214;6,263741;2023;2
33038;Høyen;Drammen;10,390441;59,567017;93;25,430494;2023;10
33660;Galleberg skole;Holmestrand;10,214603;59,627182;95;3,04406;2023;6
31750;Himberg Ramnesveien;Tønsberg;10,293320;59,325021;1636;0,805364;2023;3
33768;Gjelstad;Sandefjord;10,232724;59,111434;3;135,714386;2023;2
33189;Juveveien;Drammen;10,402042;59,617390;1839;7,589857;2023;5
33861;Alfred Engnes vei;Holmestrand;10,324872;59,536546;1810;1,043957;2023;2
32640;Nordjordet;Holmestrand;10,302984;59,495724;47;20,08906;2023;8
33376;Dronningens gate;Sandefjord;10,220464;59,132023;163;9,095989;2023;1
30945;Sandefjord vgs. II;Sandefjord;10,201128;59,132260;1291;2,066124;2023;12
32309;Klopp;Tønsberg;10,475117;59,259469;115;388,431251;2023;12
32259;Kleppan;Sandefjord;10,301667;59,201163;138;2,071073;2023;7
32570;Briskemoen;Larvik;9,969387;59,188414;1360;7,417227;2023;10
30781;Rølleshaugen;Holmestrand;10,232214;59,638914;96;137,726336;2023;7
34114;Fjellvikveien;Larvik;10,223988;59,043295;1130;1,010665;2023;1
34086;Bringaker;Holmestrand;10,234416;59,496723;1917;67,166949;2023;11
32694;Numme veiskille;Sandefjord;10,071179;59,221889;1215;2,119208;2023;10
32565;Nesalleen;Tønsberg;10,452271;59,249429;111;164,002868;2023;9
33074;Pande syd;Tønsberg;10,317855;59,301748;1524;16,071248;2023;8
31012;Sandviken;Holmestrand;10,367003;59,538007;1817;3,794929;2023;5
32338;Solerød skole;Tønsberg;10,364187;59,371630;1183;1,033062;2023;12
31084;Hagadalen;Holmestrand;10,364626;59,536763;1838;1,014687;2023;6
31636;York;Sandefjord;10,310307;59,140564;163;2,029373;2023;6
31332;Haugåkerveien;Færder;10,444015;59,234936;113A;591,060127;2023;5
33868;Glenne Sandeveien;Horten;10,444211;59,382079;1189;1,919056;2023;11
31608;Lille Gogstadvei;Sandefjord;10,234407;59,136231;163;22,06914;2023;11
33725;Ekeneskrysset;Færder;10,430979;59,233146;112;9,595278;2023;11
32619;Nordbyen;Larvik;10,046149;59,068774;210;1940,603237;2023;8
30926;Sandefjord rutebilstasjon 1;Sandefjord;10,222073;59,134411;1243;1,249282;2023;4
33204;Tjøme sentrum Østveien;Færder;10,392632;59,115468;22;1,919056;2023;11
107902;Hallingsrød;Holmestrand;10,184774;59,484546;1917;58,278215;2023;10
33781;Bjerke syd;Larvik;10,026420;59,151192;214;21,73532;2023;9
31122;Sevika;Færder;10,390977;59,178868;1546;12,396742;2023;12
31246;Vearveien;Tønsberg;10,361258;59,253228;1657;72,458379;2023;4
33443;Døvlebakken;Sandefjord;10,148465;59,298557;124;3,099186;2023;12
30969;Ulvø;Færder;10,447508;59,202233;112;96,074751;2023;12
29338;Skistadbygget;Drammen;10,202584;59,738210;96;7,417227;2023;10
32330;Sole;Sandefjord;10,306756;59,218782;1246;0,987969;2023;9
33116;Tenvik;Færder;10,366478;59,176418;2;211,939587;2023;8
31982;Løveskogen;Larvik;10,142822;59,061912;1;130,165791;2023;12
33621;Fyllpå;Tønsberg;10,360081;59,301681;117;21,746264;2023;7
30436;Presterød;Tønsberg;10,446707;59,274461;116A;149,913887;2023;4
34132;Brår;Tønsberg;10,255665;59,369206;1179;2,021331;2023;1
33150;Jarlsberg travbane;Tønsberg;10,366829;59,281480;1159;2,878584;2023;11
34069;Brekkebakken;Holmestrand;10,256445;59,571200;93;482,11978;2023;10
33201;Dalen Hanevoll;Larvik;9,891788;59,329980;214;0,948732;2023;5
30544;Gravdal verksted;Sandefjord;10,203080;59,303341;124;3,794929;2023;5
31473;Vindlyveien;Larvik;10,074546;59,028759;210;249,516554;2023;5
31988;Løveskogen idrettsplass;Larvik;10,135674;59,059936;1139;0,948732;2023;5
107549;Tønsberg rutebilstasjon 11;Tønsberg;10,412199;59,269568;1712;409,764624;2023;4
