Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
"Ørsta,1 520,10 958,26 241,""2,4"",50,1 446,13,50,1 446,13,,,"
"Stranda,1 525,4 348,5 815,""1,3"",7,370,9,7,370,9,,,"
"Sykkylven,1 528,7 617,33 740,""4,4"",103,1 319,17,102,1 289,17,1,30,0"
"Sula,1 531,9 720,26 673,""2,7"",129,3 473,36,117,3 160,33,12,313,3"
"Giske,1 532,8 691,11 292,""1,3"",47,1 316,15,26,663,8,21,653,8"
"Vestnes,1 535,7 147,51 438,""7,2"",135,2 686,38,115,1 981,28,20,705,10"
"Rauma,1 539,7 299,21 278,""2,9"",174,3 882,53,164,3 525,48,10,357,5"
"Aukra,1 547,3 678,12 000,""3,3"",32,1 242,34,26,1 012,28,6,230,6"
"Averøy,1 554,5 955,6 708,""1,1"",98,2 293,39,84,2 245,38,14,48,1"
"Gjemnes,1 557,2 700,3 855,""1,4"",19,234,9,19,234,9,,,"
"Tingvoll,1 560,3 041,10 907,""3,6"",240,3 010,99,240,3 010,99,,,"
"Sunndal,1 563,7 227,37 000,""5,1"",158,4 735,66,155,4 546,63,3,189,3"
"Surnadal,1 566,5 953,13 098,""2,2"",64,1 181,20,54,1 130,19,10,51,1"
