Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever;Elevgrunnlag for totalfravær;Totalfravær (%);Antall fraværsdager;Antall fraværstimer
2018/19;ST;Totalt;Greveskogen videregående skole;623;613;6,2%;5,9;25,9
2018/19;ST;Totalt;Holmestrand videregående skole;111;105;5,1%;6,3;14,7
2018/19;ST;Totalt;Horten videregående skole;419;415;4,5%;5,2;14,8
2018/19;ST;Totalt;Melsom videregående skole;48;47;8,6%;7,1;40,1
2018/19;ST;Totalt;Nøtterøy videregående skole;338;331;5,4%;5,0;22,8
2018/19;ST;Totalt;Re videregående skole;322;315;5,4%;5,4;21,0
2018/19;ST;Totalt;Sande videregående skole;160;159;6,3%;6,8;22,8
2018/19;ST;Totalt;Sandefjord videregående skole;906;895;5,7%;6,0;21,1
2018/19;ST;Totalt;Thor Heyerdahl videregående skole;508;496;3,5%;2,8;16,9
2018/19;TP;Totalt;Færder videregående skole;144;131;2,9%;3,4;11,0
2018/19;TP;Totalt;Holmestrand videregående skole;13;12;14,7%;16,7;56,8
2018/19;TP;Totalt;Horten videregående skole;22;19;9,7%;13,5;23,9
2018/19;TP;Totalt;Sande videregående skole;23;22;5,4%;6,9;16,6
2018/19;TP;Totalt;Sandefjord videregående skole;82;72;5,4%;4,6;28,4
2018/19;TP;Totalt;Thor Heyerdahl videregående skole;97;94;3,5%;3,7;14,8
2017/18;BA;Totalt;Færder videregående skole;93;81;5,4%;6,9;16,5
2017/18;BA;Totalt;Re videregående skole;114;102;2,9%;3,6;9,3
2017/18;BA;Totalt;Thor Heyerdahl videregående skole;101;93;3,0%;2,5;15,7
2017/18;DH;Totalt;Færder videregående skole;51;44;10,8%;15,5;24,8
2017/18;DH;Totalt;Horten videregående skole;48;45;7,3%;10,8;14,3
2017/18;DH;Totalt;Sandefjord videregående skole;50;47;7,1%;8,9;22,9
2017/18;EL;Totalt;Færder videregående skole;115;107;2,6%;3,2;8,8
2017/18;EL;Totalt;Horten videregående skole;111;109;3,3%;4,3;10,1
2017/18;EL;Totalt;Sande videregående skole;42;40;4,9%;6,2;15,5
2017/18;EL;Totalt;Sandefjord videregående skole;63;61;2,2%;3,0;5,3
2017/18;EL;Totalt;Thor Heyerdahl videregående skole;93;91;2,2%;2,5;8,7
2017/18;HS;Totalt;Holmestrand videregående skole;24;22;8,2%;11,9;17,5
2017/18;HS;Totalt;Horten videregående skole;96;84;7,0%;9,6;18,2
2017/18;HS;Totalt;Nøtterøy videregående skole;126;119;6,1%;8,2;17,3
2017/18;HS;Totalt;Re videregående skole;134;129;5,7%;8,7;10,6
2017/18;HS;Totalt;Sande videregående skole;48;46;6,5%;9,4;14,2
2017/18;HS;Totalt;Sandefjord videregående skole;193;182;6,5%;8,0;21,7
2017/18;HS;Totalt;Thor Heyerdahl videregående skole;152;149;5,3%;7,2;14,2
2017/18;ID;Totalt;Horten videregående skole;77;74;6,0%;6,8;23,2
2017/18;ID;Totalt;Re videregående skole;164;162;4,9%;6,0;16,6
2017/18;ID;Totalt;Sande videregående skole;75;75;6,7%;7,0;28,6
2017/18;ID;Totalt;Sandefjord videregående skole;94;94;5,5%;5,8;23,6
2017/18;ID;Totalt;Thor Heyerdahl videregående skole;189;188;3,2%;3,0;15,3
2017/18;KD;Totalt;Færder videregående skole;58;51;5,0%;6,6;14,9
2017/18;KD;Totalt;Sandefjord videregående skole;51;48;5,3%;6,6;17,3
2017/18;MD;Totalt;Greveskogen videregående skole;93;91;7,0%;6,8;32,9
2017/18;MD;Totalt;Sandefjord videregående skole;125;124;5,0%;4,3;26,5
2017/18;MD;Totalt;Thor Heyerdahl videregående skole;76;75;5,7%;6,1;23,7
2017/18;ME;Totalt;Holmestrand videregående skole;25;24;7,1%;8,8;23,5
2017/18;ME;Totalt;Horten videregående skole;51;50;6,1%;7,9;18,6
2017/18;ME;Totalt;Melsom videregående skole;39;37;8,2%;9,5;30,5
2017/18;ME;Totalt;Sande videregående skole;35;34;7,4%;9,9;21,3
2017/18;ME;Totalt;Thor Heyerdahl videregående skole;52;51;6,0%;7,2;21,4
2017/18;MK;Totalt;Horten videregående skole;31;30;7,0%;9,4;19,8
2017/18;MK;Totalt;Melsom videregående skole;18;18;6,7%;8,5;21,2
2017/18;MK;Totalt;Sande videregående skole;20;19;10,8%;14,9;27,1
2017/18;MK;Totalt;Thor Heyerdahl videregående skole;25;23;10,6%;12,9;36,8
2017/18;NA;Totalt;Melsom videregående skole;86;73;6,0%;6,0;27,4
2017/18;PB;Totalt;Færder videregående skole;178;165;6,0%;6,4;12,9
2017/18;PB;Totalt;Greveskogen videregående skole;7;7;10,3%;8,4;22,0
2017/18;PB;Totalt;Holmestrand videregående skole;28;27;11,0%;16,0;24,1
2017/18;PB;Totalt;Horten videregående skole;31;30;6,7%;9,7;15,0
2017/18;PB;Totalt;Melsom videregående skole;1;1;9,1%;9,0;42,0
2017/18;PB;Totalt;Nøtterøy videregående skole;11;10;4,0%;5,5;10,2
2017/18;PB;Totalt;Re videregående skole;30;29;5,9%;9,6;7,6
2017/18;PB;Totalt;Sande videregående skole;29;24;9,1%;10,2;36,0
2017/18;PB;Totalt;Sandefjord videregående skole;109;95;7,1%;8,7;23,7
2017/18;PB;Totalt;Thor Heyerdahl videregående skole;68;62;5,9%;7,2;17,6
2017/18;RM;Totalt;Greveskogen videregående skole;52;47;7,6%;11,4;14,1
2017/18;RM;Totalt;Holmestrand videregående skole;14;12;6,0%;6,8;23,2
