Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 372;1 335;6,80 %;6,9;29,2
2023/24;Alle utdanningsprogram;vg1;Vestfold;3 067;2 915;7,40 %;8,1;28,4
2023/24;Alle utdanningsprogram;vg1;Færder videregående skole;250;237;6,00 %;7,9;17,6
2023/24;Alle utdanningsprogram;vg1;Greveskogen videregående skole;341;325;7,80 %;8,1;31,4
2023/24;Alle utdanningsprogram;vg1;Holmestrand videregående skole;84;76;11,30 %;11,4;47,6
2023/24;Alle utdanningsprogram;vg1;Horten videregående skole;407;390;6,90 %;7,9;25,1
2023/24;Alle utdanningsprogram;vg1;Melsom videregående skole;71;69;9,90 %;12,4;29,9
2023/24;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;196;185;8,10 %;9,2;27,8
2023/24;Alle utdanningsprogram;vg1;Re videregående skole;299;289;6,40 %;7,4;22,9
2023/24;Alle utdanningsprogram;vg1;Sande videregående skole;157;143;8,60 %;10,9;26,1
2023/24;Alle utdanningsprogram;vg1;Sandefjord videregående skole;707;667;7,60 %;7,7;33,6
2023/24;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;555;534;6,70 %;7;27,9
2023/24;Alle utdanningsprogram;vg2;Vestfold;2 773;2 698;7,80 %;7,9;32,8
2023/24;Alle utdanningsprogram;vg2;Færder videregående skole;240;232;6,10 %;8,2;17,2
2023/24;Alle utdanningsprogram;vg2;Greveskogen videregående skole;290;285;9,50 %;8,6;43,6
2023/24;Alle utdanningsprogram;vg2;Holmestrand videregående skole;43;41;9,70 %;11;34,2
2023/24;Alle utdanningsprogram;vg2;Horten videregående skole;351;344;9,50 %;10,3;37,6
2023/24;Alle utdanningsprogram;vg2;Melsom videregående skole;48;48;8,90 %;10,1;32,6
2023/24;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;208;202;8,90 %;8,6;37,1
2023/24;Alle utdanningsprogram;vg2;Re videregående skole;276;269;5,60 %;5,1;27,1
2023/24;Alle utdanningsprogram;vg2;Sande videregående skole;114;111;7,20 %;8,5;25,1
2023/24;Alle utdanningsprogram;vg2;Sandefjord videregående skole;692;667;8,40 %;7,8;39,4
2023/24;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;511;499;6,20 %;6,6;24,7
2023/24;Alle utdanningsprogram;vg3;Vestfold;2 082;2 043;8,40 %;9;31,3
2023/24;Alle utdanningsprogram;vg3;Eksamenskontoret i Vestfold;2;0;0,00 %;0;0
2023/24;Alle utdanningsprogram;vg3;Færder videregående skole;178;169;7,60 %;8,8;20
2023/24;Alle utdanningsprogram;vg3;Greveskogen videregående skole;194;193;10,00 %;11,1;35,6
2023/24;Alle utdanningsprogram;vg3;Holmestrand videregående skole;92;90;11,60 %;13,9;32,4
2023/24;Alle utdanningsprogram;vg3;Horten videregående skole;268;265;7,70 %;9;26,3
2023/24;Alle utdanningsprogram;vg3;Melsom videregående skole;45;41;8,10 %;9,5;23,4
2023/24;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;172;169;8,60 %;8,6;33,8
2023/24;Alle utdanningsprogram;vg3;Re videregående skole;206;204;6,20 %;6,9;22,2
2023/24;Alle utdanningsprogram;vg3;Sande videregående skole;91;89;9,60 %;12,2;28,5
2023/24;Alle utdanningsprogram;vg3;Sandefjord videregående skole;528;521;8,80 %;9,1;35
2023/24;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;306;302;8,00 %;7,1;39,1
