Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Vestfold;2019;kvinner;75 år +;grunnskole;31.5039622323386;
Vestfold;2020;kjønn samlet;25 år +;grunnskole;20.8806569980779;
Vestfold;2020;kjønn samlet;25-29 år;grunnskole;26.6011986425013;
Vestfold;2020;kjønn samlet;30-39 år;grunnskole;22.1853434111075;
Vestfold;2020;kjønn samlet;40-44 år;grunnskole;17.4664107485605;
Vestfold;2020;kjønn samlet;45-74 år;grunnskole;19.1371935315597;
Vestfold;2020;kjønn samlet;75 år +;grunnskole;25.570333425695;
Vestfold;2020;menn;25 år +;grunnskole;21.037371503226;
Vestfold;2020;menn;25-29 år;grunnskole;29.8536315934825;
Vestfold;2020;menn;30-39 år;grunnskole;25.4766707880523;
Vestfold;2020;menn;40-44 år;grunnskole;19.4145228741604;
Vestfold;2020;menn;45-74 år;grunnskole;18.7416925121843;
Vestfold;2020;menn;75 år +;grunnskole;19.9209570604572;
Vestfold;2020;kvinner;25 år +;grunnskole;20.7289748652306;
Vestfold;2020;kvinner;25-29 år;grunnskole;23.0361737551082;
Vestfold;2020;kvinner;30-39 år;grunnskole;18.8275907853681;
Vestfold;2020;kvinner;40-44 år;grunnskole;15.4800361803851;
Vestfold;2020;kvinner;45-74 år;grunnskole;19.5240748766846;
Vestfold;2020;kvinner;75 år +;grunnskole;29.873088187439;
Vestfold;2021;kjønn samlet;25 år +;grunnskole;20.5515287844705;
Vestfold;2021;kjønn samlet;25-29 år;grunnskole;25.874481855865;
Vestfold;2021;kjønn samlet;30-39 år;grunnskole;22.14274206541;
Vestfold;2021;kjønn samlet;40-44 år;grunnskole;18.347748664462;
Vestfold;2021;kjønn samlet;45-74 år;grunnskole;18.7527858112801;
Vestfold;2021;kjønn samlet;75 år +;grunnskole;24.2629205688519;
Vestfold;2021;menn;25 år +;grunnskole;20.8241752048603;
Vestfold;2021;menn;25-29 år;grunnskole;28.7386394932526;
Vestfold;2021;menn;30-39 år;grunnskole;25.4809529876417;
Vestfold;2021;menn;40-44 år;grunnskole;20.9620698317006;
Vestfold;2021;menn;45-74 år;grunnskole;18.4011402460752;
Vestfold;2021;menn;75 år +;grunnskole;19.2307692307692;
Vestfold;2021;kvinner;25 år +;grunnskole;20.2866653526926;
Vestfold;2021;kvinner;25-29 år;grunnskole;22.6691323778702;
Vestfold;2021;kvinner;30-39 år;grunnskole;18.7259568364087;
Vestfold;2021;kvinner;40-44 år;grunnskole;15.6660654470497;
